blockNumber,tx,periodNumber,epochNumber,periodEnding
13590199,0x0c6f9c61283e78c02fdc0e443166fb63a8135243f526353f2bb9d1e7fbe7da1b,19378,67951,true
13618999,0xb91cac1cf918e3e01d5ebabc058947a9d90bfe6c8c8d60b3e2c7e5caaa6d871b,19379,68095,true
13647799,0xbccfec8a02c6e52cefea10490bf8e4b5c8376e5d22e24229c911b36791ebc51d,19380,68239,true
13676599,0xef06a391195a8dae3f025f8d1de4328c0ed6d7bd4a418647671d9c4dfd0474b2,19381,68383,true
13705199,0x4a210d9d0f4a39927319a9c6fa55e3ab055b9f18084c8ee3ca3fb693efc6dc64,19382,68526,true
13733999,0xb31dd4d356e7ffe816ecc3f9cc51a1483a85cc681d2677d21ea7bbcfb3af990a,19383,68670,true
13762799,0x76a48818d049d63e5a000d49402cb1eb6b7d6e2b8c912cc8ad3003f99881a9a3,19384,68814,true
13791599,0x809e5fa563be708c0eb2251708464e70d363c05ed545889b9018d63302354a37,19385,68958,true
13820399,0x47f3ef8352f80627b56a5b7a1c3858ab26fe3dabcb557c178f09b3cffafe8c09,19386,69102,true
13849199,0xff9a6e4f4bb9b562157545e806fa9aafb9960177f2946750ac3fb37719c8ff2d,19387,69246,true
13877999,0x4441f673c7dde227245e03207cd546e2682740c4d0909fb9950cdb7ee8ce28d8,19388,69390,true
13906799,0x5132b34f6acc5b1194cdb91942141842f75a19427e342acf24d6bee517836191,19389,69534,true
13935399,0xab51df98da7c65cafceaa50e14d88fa383a3e024d4f292aabef1915bdd1272ce,19390,69677,true